periodo,sexo,poblacion,nivel_ingreso,nivel_instruccion
Segundo trimestre del 2010,Hombre,809604.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2010,Mujer,858817.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2010,Hombre,777085.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2010,Mujer,856979.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2009,Hombre,793251.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2009,Mujer,876798.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2009,Hombre,757862.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2009,Mujer,899862.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2009,Hombre,759460.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2009,Mujer,815822.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2009,Hombre,735059.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2009,Mujer,834691.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2008,Hombre,703799.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2008,Mujer,743677.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2008,Hombre,673230.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2008,Mujer,722327.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2008,Hombre,668459.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2008,Mujer,779885.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2008,Hombre,675417.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2008,Mujer,781508.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2007,Hombre,699862.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2007,Mujer,823125.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2007,Hombre,669454.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2007,Mujer,731807.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2007,Hombre,650981.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2007,Mujer,761029.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2007,Hombre,704780.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2007,Mujer,785395.0,Hasta un salario mínimo,Primaria completa
